nome_franquia,id_filme_TMDB
Avatar,19995
The Avengers,299534
Star Wars,140607
The Avengers,299536
Jurassic Park,135397
The Lion King (Reboot),420818
The Avengers,24428
The Fast and the Furious,168259
Frozen,330457
The Avengers,99861
Black Panther,284054
Harry Potter,12445
Star Wars,181808
Jurassic Park,351286
Frozen,109445
The Incredibles,260513
The Fast and the Furious,337339
Iron Man,68721
Minions,211672
Captain America,271110
Aquaman,297802
Spider-Man (Avengers),429617
Captain Marvel,299537
Transformers,38356
The Lord of the Rings,122
James Bond,37724
Transformers,91314
The Dark Knight,49026
Star Wars,181812
Toy Story,301528
Toy Story,10193
Pirates of the Caribbean,58
Aladdin (Live-Action),420817
Pirates of the Caribbean,1865
Despicable Me,324852
Finding Nemo,127380
Alice in Wonderland,12155
The Hobbit,49051
The Dark Knight,155
Harry Potter,671
Despicable Me,93456
Jumanji,353486
Pirates of the Caribbean,285
The Hobbit,57158
The Hobbit,122917
Harry Potter,12444
Finding Nemo,12
Harry Potter,675
Harry Potter,767
Shrek,809
The Lord of the Rings,121
Star Wars,1893
Jurassic Park,329
Harry Potter,674
Spider-Man,559
Ice Age,8355
James Bond,206647
Spider-Man (Avengers),315635
Ice Age,57800
Harry Potter,672
The Secret Life of Pets,328111
Man of Steel,209112
The Lord of the Rings,120
Wolf Warrior,452557
Guardians of the Galaxy,283995
Venom,335983
Thor,284053
Star Wars,1895
The Hunger Games,101299
Transformers,8373
The Twilight,50620
Wonder Woman,297762
Spider-Man,557
Independence Day,602
Shrek,810
Fantastic Beasts,259316
Jumanji,512200
Pirates of the Caribbean,166426
Mission: Impossible,353081
Harry Potter,673
The Fast and the Furious,82992
Indiana Jones,217
Deadpool,383498
Spider-Man,558
Deadpool,293660
Star Wars,11
Guardians of the Galaxy,118340
The Robert Langdon,591
The Lion King,8587
Hobbs & Shaw,384018
Maleficent,102651
The Amazing Spider-Man,1930
Man of Steel,49521
Shrek,10192
The Hunger Games,131631
X-Men,127585
Madagascar,80321
Suicide Squad,297761
The Chronicles of Narnia,411
"Monsters, Inc.",62211
The Matrix,604
The Fast and the Furious,385128
Captain America,100402
The Twilight,50619
Planet of the Apes (Reboot),119450
The Twilight,18239
Transformers,1858
The Amazing Spider-Man,102382
James Bond,370172
It,346364
The Twilight,24021
Mission: Impossible,56292
The Hunger Games,70160
Detective Chinatown,602666
Mission: Impossible,177677
Doctor Strange,284052
Kung Fu Panda,49444
Ice Age,950
